,food_name,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,calcium_mg,iron_mg,energy_kj,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,Guava raita (Amarood ka raita),64.36,7.27,4.19,2.07,6.71,3.00,136.93,0.28,270.82,1227.90,540.96,144.15,6.93,117.29,19.61,135.94,283.96,0.06,1.89,0.00,0.11,0.02,0.54,17.63,0.07,0.85,0.00,2.42,0.00,21.09,0.06,0.18,0.34,0.41,0.10,1.96,21.09,68.43,347.70
,Grapes raita (Angoor ka raita),72.59,9.66,3.98,2.07,8.51,0.71,134.52,0.26,305.29,1243.61,533.47,129.36,6.93,116.26,17.07,135.64,247.92,0.03,1.31,0.00,0.07,0.02,0.48,17.63,0.06,1.86,0.00,2.98,0.00,14.40,0.05,0.18,0.19,0.35,0.10,2.07,14.40,6.64,100.44
,Bottle gourd kheer (Ghiya/Lauki kheer),84.07,10.00,2.70,3.86,9.63,0.55,94.18,0.23,353.53,2067.13,1224.36,224.92,0.00,79.10,11.57,19.62,117.46,0.05,1.09,0.00,0.12,0.02,0.32,0.00,0.38,0.23,0.00,0.47,0.00,13.40,0.03,0.09,0.12,0.37,0.03,1.98,13.40,2.32,167.96
,Pumpkin kheer (Kaddu ki kheer),86.35,10.44,2.76,3.86,10.12,0.63,95.61,0.24,363.06,2067.72,1227.81,224.51,0.00,80.25,11.48,20.99,141.55,0.05,0.83,0.00,0.11,0.02,0.31,0.00,0.49,0.36,0.00,15.71,0.00,10.07,0.03,0.09,0.17,0.29,0.05,1.81,10.07,3.01,420.84
,Apple kheer (Seb ki kheer),81.30,11.34,2.14,3.18,10.71,0.51,75.67,0.18,342.04,1680.17,992.29,213.60,0.00,62.83,8.91,15.86,93.41,0.04,0.68,0.00,0.09,0.27,0.25,0.00,0.33,0.30,0.00,0.61,0.00,4.93,0.02,0.07,0.11,0.22,0.03,1.26,4.93,1.75,155.27
,Caramel custard (baked),122.70,14.95,5.11,5.01,14.92,0.00,90.59,0.53,516.85,2456.56,1579.40,347.24,81.15,105.37,8.42,44.78,107.98,0.05,9.60,0.00,0.01,0.00,0.50,43.90,0.48,0.00,0.19,0.00,3.24,15.61,0.03,0.12,0.08,0.55,0.06,5.36,15.61,1.34,162.97
,Vanilla ice cream without egg,228.67,14.21,2.69,18.15,13.45,0.00,81.27,0.10,949.69,11310.75,5221.95,516.93,41.70,69.83,6.63,23.97,89.96,0.03,0.53,0.00,0.01,0.00,0.25,158.46,0.63,0.00,0.00,0.00,0.00,6.15,0.02,0.12,0.04,0.25,0.04,1.50,6.15,1.36,193.41
,Vanilla ice cream with egg,214.85,11.71,4.16,17.02,11.69,0.00,77.42,0.34,892.60,10235.22,5017.00,606.08,86.75,86.09,7.41,37.72,97.19,0.03,6.04,0.00,0.01,0.00,0.38,165.01,0.76,0.00,0.12,0.00,2.02,12.13,0.03,0.13,0.05,0.42,0.05,3.82,12.13,1.18,186.68
,Strawberry ice cream,215.61,12.26,4.15,16.96,11.60,0.00,77.08,0.34,895.98,10193.68,4996.98,605.64,86.39,85.83,7.36,37.62,96.40,0.03,6.02,0.00,0.01,0.00,0.39,164.33,0.75,0.00,0.12,0.00,2.01,12.10,0.03,0.13,0.05,0.42,0.05,3.80,12.10,1.17,185.91
,Chocochip ice cream,241.45,16.75,4.23,17.93,16.08,0.00,73.22,0.51,1004.91,10773.54,5348.34,640.25,79.34,90.59,14.52,34.84,114.27,0.09,5.84,0.00,0.06,0.00,0.47,151.22,0.81,0.00,0.11,0.20,1.83,12.09,0.03,0.12,0.08,0.41,0.05,3.73,12.09,1.07,170.91
,Choconut ice cream,273.96,23.13,5.04,18.49,21.02,0.51,67.38,0.89,1144.40,9205.44,6886.58,1271.42,65.65,115.16,37.50,29.83,145.81,0.25,5.73,0.00,0.21,0.01,0.80,125.06,1.23,0.30,0.09,0.40,1.52,12.19,0.07,0.11,0.20,0.44,0.05,3.26,12.19,0.90,142.77
,Pear chocholate sunday,183.49,15.02,2.08,13.11,14.41,0.07,56.67,0.24,764.31,7992.81,3876.07,443.48,29.11,56.29,12.33,16.26,91.18,0.07,0.36,0.00,0.02,0.01,0.27,112.13,0.58,0.01,0.00,0.14,0.00,5.22,0.02,0.08,0.10,0.17,0.03,1.02,5.22,1.37,131.58
,Chocolate sauce,263.20,43.21,1.91,10.39,42.06,0.00,18.80,1.13,1108.00,6489.00,2811.00,343.00,21.30,68.70,53.00,2.80,154.70,0.44,0.00,0.00,0.00,0.00,0.74,95.80,0.25,0.00,0.00,0.89,0.00,3.80,0.02,0.01,0.17,0.00,0.01,0.02,3.80,0.00,64.80
,Coffee ice cream,150.62,14.09,3.15,9.43,13.35,0.00,95.72,0.15,633.02,5190.40,2307.67,368.20,22.23,84.92,9.79,42.09,132.18,0.03,2.33,0.00,0.02,0.00,0.31,44.08,0.15,0.00,0.41,0.67,0.00,4.33,0.02,0.13,0.22,0.33,0.04,1.39,4.33,1.30,113.41
,Coffee pear alaska,203.99,19.36,2.88,13.22,16.88,0.15,60.61,0.22,851.25,8018.60,3934.44,448.38,28.43,55.73,8.57,51.11,107.86,0.03,2.00,0.00,0.05,0.00,0.23,109.17,0.63,0.00,0.07,0.15,0.00,5.53,0.02,0.09,0.23,0.28,0.03,1.74,5.53,1.39,133.63
,Crunchy butterscotch,277.32,19.92,3.11,20.99,17.73,0.47,72.26,0.26,1153.63,12607.87,6110.42,956.49,46.39,76.55,12.96,22.24,103.65,0.06,0.69,0.00,0.10,0.03,0.35,184.22,0.78,0.19,0.00,0.46,0.00,9.99,0.06,0.14,0.44,0.25,0.04,1.55,9.99,1.14,197.10
,Peach melba ice cream,200.85,16.31,2.06,14.51,13.35,0.06,60.55,0.11,834.73,8892.13,4281.70,468.69,33.23,53.82,6.90,17.92,81.24,0.02,0.38,0.00,0.02,0.01,0.21,126.27,0.61,0.01,0.00,0.04,0.00,5.14,0.02,0.09,0.07,0.19,0.03,1.12,5.14,1.31,143.69
,Vanilla ice cream with apples in hot cherry sauce,196.32,22.75,1.73,11.45,14.19,0.26,56.34,0.16,818.69,7111.02,3280.84,357.28,26.15,46.38,6.04,31.54,74.21,0.03,0.38,0.00,0.01,0.17,0.18,99.37,0.41,0.15,0.00,0.38,0.00,4.29,0.02,0.08,0.05,0.17,0.03,0.99,4.29,1.69,145.19
,Grape and orange whip,57.39,6.72,1.41,2.62,5.66,0.97,17.40,0.53,238.51,1599.99,738.10,116.80,6.51,15.37,8.95,14.36,138.86,0.03,1.61,0.01,0.02,0.00,0.05,24.73,0.11,0.98,0.07,2.00,0.00,13.92,0.05,0.04,0.19,0.24,0.04,2.32,13.92,28.81,460.10
,Honey banana cream,125.49,13.64,2.78,6.68,10.51,0.70,43.52,0.23,523.14,4124.65,1887.34,234.75,14.27,40.03,12.73,15.65,159.94,0.05,0.62,0.01,0.13,0.00,0.21,54.24,0.26,0.21,0.00,0.75,0.00,8.59,0.02,0.07,0.18,0.22,0.17,1.16,8.59,5.04,165.80
,Raspberry bavarian cream,150.10,17.82,3.34,7.88,15.30,2.19,26.40,0.31,628.33,4796.92,2241.22,341.14,19.94,22.93,9.95,24.59,78.98,0.05,1.99,0.00,0.23,0.00,0.20,75.76,0.54,0.00,0.08,2.63,0.00,8.77,0.02,0.06,0.20,0.25,0.03,0.58,8.77,9.03,102.26
,Fruit delight,107.09,9.11,2.09,7.09,9.03,0.09,71.69,0.15,446.81,4381.10,2010.40,213.00,12.28,61.21,6.93,17.27,96.94,0.02,0.50,0.00,0.01,0.00,0.23,46.67,0.27,0.19,0.00,0.24,0.00,5.67,0.02,0.08,0.10,0.22,0.03,1.32,5.67,2.26,145.51
,Creamy chocolate mousse,230.52,9.53,6.85,18.16,8.99,0.00,45.25,0.96,957.52,10650.31,5511.22,730.70,129.13,95.04,26.51,48.64,127.50,0.18,10.46,0.00,0.01,0.00,0.67,196.50,0.89,0.00,0.21,0.07,3.60,16.31,0.03,0.11,0.10,0.45,0.06,5.03,16.31,0.37,126.31
,Cold lemon souffle,169.87,15.62,5.89,9.78,13.88,0.00,55.03,0.53,711.96,5629.48,2808.45,506.60,98.14,72.62,6.74,46.35,81.69,0.02,8.82,0.00,0.01,0.00,0.41,160.82,0.51,0.00,0.17,0.00,3.01,12.88,0.03,0.12,0.07,0.44,0.05,4.92,12.88,3.57,98.04
,Cold orange souffle,173.19,16.27,5.94,9.82,14.42,0.11,55.45,0.57,725.84,5652.60,2824.70,504.09,98.65,73.20,7.19,46.53,88.17,0.03,8.79,0.00,0.01,0.00,0.40,161.66,0.51,0.03,0.17,0.22,3.03,14.01,0.03,0.12,0.09,0.45,0.05,5.19,14.01,4.18,157.63
