,food_name,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,calcium_mg,iron_mg,energy_kj,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,Haleem,156,23.20,10.20,2.00,0.00,1.00,31.00,1.20,652.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.60,0.00
,Kofta (Meat balls),152,14.50,13.50,4.00,0.00,0.00,1.10,1.00,636.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00
,Chapli Kabab,134,12.80,5.00,6.50,0.00,1.50,0.30,1.50,560.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
,Sajji (Roasted Meat),157,1.50,17.20,6.60,0.00,0.00,15.00,1.80,656.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Chicken Biryani ,197,23.80,9.10,6.70,0.00,0.80,52.00,0.90,825.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,0.00
,Zarda (Sweet Rice),246,46.50,4.50,4.00,0.00,0.50,0.40,0.50,1029.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00
,Both Masoer Curry,96.00,12.60,5.20,2.50,0.00,1.00,0.80,1.10,401.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
,Chapati/Roti,282,54.70,9.70,1.60,1.00,2.50,31.00,3.30,844.75,1737.22,796.67,538.89,6.83,175.00,69.44,1.16,172.78,0.27,29.51,0.00,1.66,0.02,1.58,25.61,0.30,7.46,0.00,0.83,0.00,16.23,0.23,0.08,1.32,0.48,0.14,0.42,16.23,0.20,209.53
,Kidney bean curry (Rajmah curry),162,24.30,11.70,1.50,2.49,2.50,1.00,0.80,677.60,724.31,1085.92,3529.48,0.00,123.00,58.61,354.60,485.90,0.26,5.73,0.01,0.58,0.10,0.87,0.00,2.65,12.04,0.00,18.31,0.00,93.63,0.11,0.07,0.98,0.63,0.13,1.32,93.63,2.10,2790.14
,Plain pulao,179,18.90,11.00,6.00,1.15,1.10,1.00,0.30,749.20,585.27,946.98,2865.54,0.00,42.93,12.30,193.76,74.74,0.09,0.40,0.00,0.47,0.03,0.37,0.00,2.20,0.28,0.00,2.01,0.00,7.35,0.05,0.02,0.72,0.19,0.07,0.52,7.35,0.00,35.37
,Shammi kebab,137,16.30,10.20,3.00,0.31,1.05,1.00,0.90,573.40,9453.59,15312.34,44621.43,24.60,53.08,11.03,54.27,110.92,0.07,4.18,0.00,0.21,0.01,0.75,7.96,34.60,0.21,0.03,5.33,0.53,12.00,0.04,0.04,0.85,0.27,0.05,1.09,12.00,0.40,73.57
,Chicken curry,167,11.70,9.80,8.50,1.79,1.41,3.00,0.50,698.00,821.08,1119.97,2005.92,31.25,107.81,21.89,108.00,253.49,0.19,9.56,0.00,0.42,0.05,0.56,4.07,1.56,2.90,0.70,8.57,14.02,15.61,0.07,0.05,4.28,0.71,0.32,2.95,15.61,0.00,1284.19
,Fried fish (Indian style) (Tali hui machli),237,1.80,23.70,14.20,0.40,0.30,42.00,1.50,991.90,8336.42,14107.74,43531.64,6.57,46.90,10.23,156.94,75.49,0.05,9.26,0.00,0.10,0.00,0.20,2.31,33.90,0.26,0.03,4.94,0.74,9.96,0.03,0.03,0.51,0.28,0.04,1.22,9.96,0.20,41.26
,Semolina halwa (Suji ka halwa),337,52.10,2.90,12.00,13.98,12.00,0.70,0.10,1409.00,7412.72,3906.35,857.21,30.82,27.64,13.08,1.28,70.46,0.11,1.83,0.00,0.48,0.05,0.42,115.52,1.21,1.46,0.00,0.37,0.00,4.99,0.05,0.01,0.25,0.13,0.02,0.13,4.99,0.03,279.71
,Rice kheer (Chawal ki kheer),125,18.20,3.60,2.70,8.02,0.20,137.00,0.20,522.50,1704.00,866.18,129.29,0.00,65.41,7.33,16.24,83.08,0.04,0.65,0.00,0.08,0.03,0.25,0.00,0.21,0.07,0.00,0.08,0.00,4.87,0.02,0.07,0.13,0.23,0.03,1.26,4.87,1.70,127.08
,Carrot halwa (Gajar ka halwa),410,42.00,5.10,24.20,16.85,2.10,150.00,1.10,1713.00,5410.09,2812.91,694.99,14.66,98.65,22.98,39.96,249.93,0.10,5.73,0.02,0.24,0.03,0.54,54.94,0.72,0.93,0.00,11.04,0.00,26.70,0.05,0.04,0.22,0.26,0.08,3.56,26.70,2.00,5740.77
,Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.00,14.20,0.02,68.16,321.50,144.18,16.39,0.00,11.50,1.04,3.12,13.95,0.01,0.11,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.86,0.00,0.01,0.01,0.04,0.00,0.24,0.86,0.24,23.75
,Instant coffee,23.16,3.65,0.64,0.75,3.62,0.00,20.87,0.06,97.77,451.17,202.33,23.00,0.00,18.19,3.63,4.92,44.50,0.01,0.22,0.00,0.02,0.00,0.06,0.00,0.04,0.00,0.00,0.03,0.00,1.25,0.01,0.02,0.18,0.06,0.01,0.78,1.25,0.34,33.33
,Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.00,58.10,0.15,217.00,1291.67,580.16,66.21,0.00,50.25,8.57,13.98,103.86,0.04,0.56,0.00,0.03,0.00,0.19,0.00,0.11,0.00,0.00,0.05,0.00,3.49,0.01,0.05,0.35,0.16,0.02,1.81,3.49,0.95,94.64
,Iced tea,10.34,2.70,0.03,0.01,2.70,0.00,1.18,0.02,44.09,5.47,0.00,5.47,0.00,0.58,0.39,0.23,5.22,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.01,0.01,0.00,0.01,0.40,1.86,0.22
,Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,7.08,0.14,152.39,6.14,5.89,9.43,0.00,3.34,4.25,79.82,31.45,0.03,0.05,0.00,0.05,0.01,0.03,0.00,0.17,1.46,0.00,3.44,0.00,5.23,0.00,0.00,0.05,0.03,0.03,0.27,5.23,16.87,167.19
,Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,5.07,0.10,153.89,6.21,1.30,10.08,0.00,10.24,3.20,2.63,33.43,0.01,0.03,0.00,0.13,0.00,0.02,0.00,0.05,0.05,0.00,0.56,0.00,4.51,0.02,0.00,0.04,0.04,0.01,0.15,4.51,7.61,45.53
,Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,3.30,0.06,98.22,5.23,1.63,7.07,0.00,9.27,1.88,2.26,16.65,0.01,0.04,0.00,0.08,0.00,0.01,0.00,0.03,0.05,0.00,0.65,0.00,1.82,0.00,0.00,0.02,0.02,0.01,0.08,1.82,3.00,55.69
,Lemonade,20.80,5.48,0.03,0.01,5.47,0.02,1.84,0.05,88.66,4.65,0.04,5.30,0.00,0.67,0.73,28.52,5.73,0.01,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.47,0.00,0.60,0.00,0.00,0.01,0.01,0.00,0.01,0.60,1.51,53.70
,Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,2.20,0.09,91.63,9.41,1.47,13.20,0.00,1.59,1.86,28.13,14.17,0.01,0.07,0.00,0.08,0.00,0.02,0.00,0.01,0.10,0.00,1.00,0.00,0.82,0.00,0.00,0.02,0.01,0.01,0.03,0.82,1.59,59.48
,Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,10.84,0.32,38.23,14.50,40.04,33.53,0.00,4.47,5.28,189.60,32.15,0.02,0.13,0.00,0.23,0.02,0.04,0.00,0.01,0.57,0.00,1.77,0.00,0.93,0.01,0.00,0.05,0.01,0.01,0.03,0.93,1.07,64.09
,Coco pine cooler,32.75,5.72,0.56,1.00,5.52,0.26,17.81,0.13,138.47,627.31,248.96,41.50,3.40,13.47,6.59,23.20,66.65,0.01,0.31,0.00,0.13,0.00,0.07,10.53,0.07,0.07,0.00,0.84,0.00,2.92,0.03,0.04,0.05,0.14,0.02,0.29,2.92,2.47,96.55
,Summer cooler,22.43,5.43,0.37,0.04,5.21,0.20,8.13,0.28,95.22,10.71,1.87,16.85,0.00,11.46,7.62,1.57,93.06,0.01,0.17,0.00,0.16,0.00,0.04,0.00,0.15,0.14,0.00,2.31,0.00,12.92,0.03,0.01,0.11,0.12,0.03,0.45,12.92,20.92,219.75
,Hot cocoa,90.10,9.23,3.36,4.56,9.01,0.00,113.66,0.31,378.24,2752.15,1257.17,139.48,0.00,101.41,16.05,24.20,132.15,0.09,0.90,0.00,0.01,0.00,0.42,0.00,0.22,0.00,0.00,0.02,0.00,7.22,0.03,0.10,0.10,0.32,0.04,1.87,7.22,1.89,189.11
,Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,53.29,0.12,286.61,1283.98,567.96,67.66,1.17,44.98,7.26,13.84,90.27,0.03,0.51,0.00,0.02,0.00,0.16,3.62,0.11,0.00,0.00,0.04,0.00,3.15,0.02,0.06,0.29,0.18,0.02,1.54,3.15,0.84,81.39
,Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,62.64,0.13,274.33,1423.07,634.17,87.19,0.00,52.77,7.92,13.61,102.43,0.03,0.49,0.00,0.05,0.00,0.19,0.00,0.13,0.02,0.00,0.25,0.00,5.74,0.02,0.06,0.10,0.22,0.08,1.21,5.74,1.98,134.30
,Mango milkshake (Aam milkshake),56.90,7.23,1.73,2.35,7.15,0.26,62.33,0.15,239.13,1394.57,633.56,88.45,0.00,50.50,6.17,13.27,79.07,0.03,0.75,0.00,0.04,0.00,0.19,0.00,0.15,0.52,0.00,0.67,0.00,15.10,0.02,0.06,0.08,0.19,0.04,1.23,15.10,5.65,301.55
,Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.60,0.00,59.92,0.11,235.06,1336.79,599.51,68.15,0.00,47.88,5.14,14.05,65.68,0.02,0.47,0.00,0.12,0.00,0.18,0.00,0.11,0.00,0.00,0.00,0.00,4.79,0.02,0.06,0.06,0.18,0.03,0.98,4.79,2.80,100.08
,Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.00,67.42,0.11,241.50,1525.07,683.94,77.75,0.00,55.47,5.30,14.63,73.43,0.02,0.54,0.00,0.01,0.00,0.19,0.00,0.14,0.00,0.00,0.00,0.00,5.28,0.02,0.06,0.05,0.20,0.02,1.16,5.28,3.39,115.26
,Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,102.13,0.43,407.68,2633.51,1536.21,299.55,60.30,107.24,8.99,40.65,115.14,0.04,7.43,0.00,0.02,0.00,0.47,32.62,0.42,0.08,0.14,0.10,2.41,13.81,0.03,0.12,0.08,0.51,0.06,4.57,13.81,1.59,180.53
,Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.00,45.65,0.03,151.19,431.64,178.53,22.60,2.49,38.46,4.38,18.31,63.50,0.01,0.45,0.00,0.00,0.00,0.16,6.33,0.01,0.00,0.00,0.00,0.00,4.07,0.01,0.06,0.05,0.11,0.02,0.59,4.07,0.23,4.75
,Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,47.78,0.04,79.43,451.64,191.60,26.17,2.60,40.39,4.84,65.40,67.37,0.00,0.47,0.00,0.00,0.00,0.17,6.62,0.01,0.01,0.00,0.09,0.00,4.27,0.01,0.06,0.05,0.12,0.02,0.62,4.27,0.24,5.29
,Cheese and chilli sandwich ,218.11,27.40,6.80,9.78,2.38,2.08,113.79,0.99,916.65,5276.39,2277.00,351.37,23.05,89.98,18.86,437.50,142.31,0.10,4.57,0.00,0.32,0.02,0.56,97.40,0.25,0.24,0.00,5.85,0.00,28.95,0.14,0.09,1.00,0.10,0.07,1.77,28.95,22.06,518.11
,Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.80,1.86,1.88,110.13,1.44,1198.25,8437.21,4047.35,733.87,121.63,107.32,18.88,461.67,129.59,0.11,14.16,0.00,0.34,0.02,0.77,190.34,0.70,0.13,0.21,1.94,3.60,29.40,0.15,0.10,0.98,0.37,0.08,4.54,29.40,0.00,134.03
,Cucumber sandwich (Kheere ka sandwich),188.60,25.77,4.80,8.00,1.64,2.45,87.84,1.02,792.81,4322.51,1808.72,287.53,17.53,62.30,21.60,362.64,154.06,0.09,3.58,0.00,0.31,0.02,0.46,78.85,0.21,0.62,0.00,4.69,0.00,21.34,0.12,0.04,0.94,0.19,0.06,1.19,21.34,2.51,129.54
,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.10,8.20,12.80,4.10,2.33,199.73,1.04,1080.78,7259.18,3109.01,440.30,34.35,195.37,21.52,571.96,143.39,0.10,4.73,0.00,0.54,0.02,0.91,134.35,0.39,0.15,0.00,2.15,0.00,21.66,0.14,0.09,0.90,0.14,0.07,1.23,21.66,6.52,97.00
,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,191.20,1.00,1020.45,6949.08,2976.77,438.74,32.88,187.97,20.97,549.71,148.52,0.09,4.52,0.00,0.32,0.03,0.87,128.58,0.35,2.65,0.00,6.82,0.00,20.91,0.13,0.09,0.95,0.15,0.07,1.23,20.91,5.42,1328.24
,Chicken sandwich,253.27,25.38,13.12,11.75,1.60,1.64,89.56,1.19,1063.58,4795.68,2264.61,412.47,42.06,121.57,21.59,389.67,196.08,0.19,10.83,0.00,0.30,0.02,0.70,84.92,0.32,0.11,0.53,1.37,10.74,19.06,0.15,0.07,3.94,0.45,0.24,1.62,19.06,0.00,61.71
,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,94.03,1.58,1223.06,5981.63,5583.70,2667.60,17.53,134.27,56.19,364.99,252.82,0.28,4.21,0.00,0.63,0.11,1.06,78.85,1.12,4.00,0.00,6.79,0.00,36.28,0.23,0.07,3.23,0.25,0.10,0.59,36.28,5.20,1274.98
,Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.10,172.04,1.20,1145.57,7021.96,2934.21,411.22,31.16,149.85,20.43,612.49,143.97,0.10,5.00,0.00,0.36,0.02,0.76,128.38,0.36,0.13,0.00,2.15,0.00,21.69,0.20,0.09,1.16,0.08,0.06,0.68,21.69,2.12,188.09
,Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,115.68,0.86,982.35,6110.90,5725.71,1625.38,31.26,128.02,18.60,461.66,169.00,0.08,3.73,0.00,0.23,0.01,0.87,80.88,1.19,1.91,0.00,13.56,0.00,19.82,0.16,0.09,1.33,0.36,0.10,1.98,19.82,6.83,918.33
,Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,122.44,0.77,829.67,4721.69,3935.81,1208.38,23.13,120.49,18.65,305.36,159.77,0.07,3.11,0.00,0.24,0.01,0.58,85.76,1.23,3.27,0.00,15.00,0.00,21.16,0.10,0.07,0.78,0.20,0.07,1.81,21.16,7.24,973.74
,Pin wheel sandwich,311.52,14.00,8.77,24.93,1.45,0.93,67.75,1.36,1295.40,2856.30,13907.46,5907.96,179.52,111.59,13.69,374.39,110.30,0.08,20.07,0.00,0.18,0.02,0.80,109.78,6.65,0.12,0.38,0.77,6.55,32.44,0.09,0.13,0.48,0.70,0.12,8.38,32.44,0.00,70.49
,Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.30,9.12,5.30,3.66,118.05,1.80,899.82,5161.20,2211.03,628.98,21.05,97.76,31.49,302.88,228.82,0.14,3.60,0.00,0.63,0.45,0.78,89.31,0.25,0.45,0.00,14.90,0.00,22.32,0.13,0.07,1.44,0.21,0.10,1.71,22.32,2.78,2220.14
,Salami sandwich,255.59,21.54,8.70,15.51,2.00,1.97,73.54,1.11,1068.35,6875.04,5531.68,1238.08,33.35,88.61,20.81,662.75,194.06,0.10,4.52,0.00,0.26,0.02,1.05,64.51,0.22,0.43,0.00,3.54,0.00,17.03,0.25,0.09,2.07,0.51,0.13,2.39,17.03,1.69,104.03
,Vegetable and mayonnaise sandwich,244.26,23.20,4.47,15.40,2.35,2.35,79.53,0.91,1020.23,4467.60,6614.60,2487.48,21.87,55.55,16.70,342.70,143.10,0.09,3.17,0.00,0.30,0.02,0.42,78.70,2.66,1.79,0.00,9.37,0.00,24.97,0.11,0.06,0.86,0.11,0.08,0.98,24.97,18.89,2218.25
,Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.90,7.66,10.51,2.09,1.77,95.71,1.30,933.23,5164.06,2761.66,611.98,95.63,95.47,18.11,423.26,150.47,0.10,12.16,0.00,0.31,0.03,0.69,124.29,0.67,1.35,0.18,3.87,3.07,27.45,0.14,0.09,0.99,0.35,0.09,4.08,27.45,3.33,790.67
,Sweet open sandwich,244.25,39.24,4.99,8.15,12.23,2.36,85.18,1.15,1026.93,4453.81,1778.49,289.97,18.05,60.50,22.74,205.27,230.97,0.13,3.62,0.01,0.39,0.01,0.43,81.19,0.23,0.13,0.00,1.43,0.00,22.12,0.12,0.06,0.99,0.13,0.21,0.56,22.12,2.80,146.68
,Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.11,2.28,172.35,0.84,951.30,7548.33,3185.63,525.33,35.12,196.85,21.16,456.57,198.37,0.09,3.64,0.00,0.28,0.02,0.80,139.41,0.31,6.86,0.00,5.69,0.00,16.77,0.10,0.09,0.88,0.25,0.08,4.00,16.77,0.00,83.20
,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,2.67,1.78,169.22,0.82,939.42,7543.30,3193.44,477.81,35.12,173.20,19.04,457.94,148.53,0.08,3.64,0.00,0.26,0.02,0.78,139.41,0.38,3.99,0.00,9.52,0.00,19.12,0.11,0.08,0.82,0.16,0.07,1.32,19.12,8.34,2005.97
,Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.90,25.17,4.60,5.43,1.33,2.89,64.15,1.11,692.60,576.47,962.91,2954.18,0.00,61.80,26.66,262.63,342.73,0.12,2.90,0.00,0.43,0.02,0.52,0.00,2.31,1.75,0.00,7.86,0.00,23.64,0.14,0.04,1.20,0.26,0.10,1.11,23.64,15.87,289.26
,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,24.05,12.40,11.98,6.40,2.12,274.10,1.26,1046.81,4540.44,2891.99,3093.70,0.00,190.78,27.81,268.90,127.84,0.13,12.97,0.05,0.43,0.02,1.63,0.00,2.29,1.72,0.00,6.91,0.00,58.65,0.12,0.08,0.79,0.31,0.08,9.97,58.65,5.46,282.96
,Chicken sandwich (toasted),167.37,18.82,12.08,5.32,2.13,1.64,99.99,0.99,705.58,1141.78,725.92,213.09,26.57,147.95,20.67,327.55,203.56,0.17,9.36,0.00,0.24,0.01,0.73,18.23,0.18,0.24,0.48,4.00,9.75,24.22,0.13,0.07,3.50,0.50,0.24,2.62,24.22,15.17,316.15
,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,1.94,2.45,70.79,1.51,723.50,2222.37,1918.95,274.92,27.29,115.55,26.19,290.07,234.35,0.13,3.44,0.00,0.42,0.02,1.70,1.77,0.14,1.83,0.00,7.49,0.00,21.61,0.16,0.10,2.51,0.45,0.14,1.54,21.61,6.50,216.20
,Classic club sandwich,200.83,18.49,6.74,11.56,1.86,1.62,107.73,1.09,840.30,4632.53,4002.40,1496.11,62.87,127.98,20.02,277.49,167.57,0.08,7.88,0.00,0.24,0.00,0.73,97.16,1.43,1.17,0.09,20.79,1.63,25.46,0.11,0.08,0.88,0.36,0.10,3.54,25.46,7.24,1056.80
,Sesame toast,495.19,11.15,1.90,49.38,1.46,1.32,43.44,0.72,2042.69,5926.63,10168.23,30988.81,0.00,36.67,15.34,128.78,172.98,0.07,1.39,0.00,0.14,0.03,0.30,0.00,23.91,1.03,0.00,7.05,0.00,14.20,0.07,0.02,0.56,0.11,0.06,0.60,14.20,11.08,744.64
,Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,5.12,0.62,75.88,0.32,341.09,1828.16,1007.44,870.97,0.00,59.92,5.18,15.89,71.44,0.02,0.59,0.00,0.01,0.00,0.21,0.00,0.75,0.00,0.00,0.08,0.00,4.36,0.02,0.07,0.05,0.21,0.02,1.23,4.36,1.25,124.07
,Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,7.54,0.70,108.52,0.36,423.06,2440.75,1096.57,147.48,0.00,95.42,10.23,23.21,123.99,0.06,1.64,0.00,0.15,0.01,0.45,0.00,0.21,0.59,0.00,0.09,0.00,8.17,0.05,0.10,0.15,0.36,0.04,1.81,8.17,1.81,199.71
,Oatmeal Porridge,72.85,8.77,2.60,3.22,5.20,0.39,76.83,0.28,306.46,1764.70,918.84,246.98,0.02,80.12,10.97,16.14,91.03,0.04,0.75,0.00,0.19,0.00,0.32,0.00,0.17,0.00,0.00,0.00,0.00,6.02,0.07,0.07,0.09,0.25,0.04,2.20,6.02,1.26,125.63
,Cornflakes with milk,117.33,14.95,3.59,5.12,9.97,0.78,106.47,0.42,493.71,2784.82,1530.43,370.58,0.00,108.43,14.98,26.55,132.88,0.06,1.47,0.00,0.24,0.00,0.46,0.00,0.34,0.00,0.00,0.00,0.00,15.78,0.14,0.21,0.50,0.33,0.05,2.67,15.78,1.74,172.66
,Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,7.28,0.37,103.15,0.62,471.37,2367.63,1093.92,181.40,0.00,104.43,15.61,22.40,115.40,0.06,0.82,0.01,0.10,0.02,0.45,0.00,0.20,0.00,0.00,0.11,0.00,6.98,0.04,0.10,0.24,0.35,0.04,1.75,6.98,1.74,176.29
,Wheat flakes,112.44,15.57,3.62,3.99,7.28,0.37,103.15,0.62,471.37,2367.63,1093.92,181.40,0.00,104.43,15.61,22.40,115.40,0.06,0.82,0.01,0.10,0.02,0.45,0.00,0.20,0.00,0.00,0.11,0.00,6.98,0.04,0.10,0.24,0.35,0.04,1.75,6.98,1.74,176.29
,Murmura (Puffed rice),113.32,15.67,3.62,4.04,7.31,0.28,103.79,0.63,475.04,2342.03,1052.35,123.97,0.00,99.79,14.18,22.52,114.53,0.06,0.82,0.01,0.11,0.01,0.44,0.00,0.19,0.00,0.00,0.11,0.00,6.07,0.04,0.10,0.27,0.33,0.04,1.85,6.07,1.74,178.11
,Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,7.31,0.28,103.79,0.63,475.04,2342.03,1052.35,123.97,0.00,99.79,14.18,22.52,114.53,0.06,0.82,0.01,0.11,0.01,0.44,0.00,0.19,0.00,0.00,0.11,0.00,6.07,0.04,0.10,0.27,0.33,0.04,1.85,6.07,1.74,178.11
,Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0.00,0.11,17.75,0.64,189.77,981.64,1154.18,385.02,121.19,61.74,4.88,170.94,50.91,0.03,13.43,0.00,0.03,0.01,0.41,65.56,0.50,0.09,0.28,0.57,4.84,16.40,0.02,0.06,0.04,0.49,0.05,6.05,16.40,0.00,52.05
,Fried Egg ,223.67,0.31,11.59,19.62,0.00,0.29,46.40,1.69,928.19,3969.30,5413.97,8405.42,316.88,161.43,12.75,446.96,133.13,0.08,35.12,0.00,0.08,0.04,1.08,171.43,7.07,0.22,0.73,2.22,12.65,42.89,0.05,0.17,0.10,1.28,0.14,15.82,42.89,0.00,136.10
,Poached egg,123.87,0.37,11.98,8.19,0.05,0.30,48.24,1.75,518.05,2646.91,3112.17,1038.18,326.79,167.21,14.79,1163.07,141.30,0.08,36.29,0.00,0.09,0.04,1.12,176.79,1.36,0.23,0.75,1.53,13.04,44.23,0.05,0.17,0.11,1.32,0.15,16.32,44.23,0.00,140.35
,Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,1.08,0.24,64.59,1.42,649.51,5674.17,3944.74,1021.83,273.60,155.18,12.41,374.66,136.01,0.07,29.18,0.00,0.07,0.03,0.96,196.17,1.24,0.18,0.60,1.64,10.44,36.89,0.05,0.16,0.10,1.13,0.12,13.49,36.89,0.43,189.88
,Baked egg ,218.85,15.42,11.88,12.65,1.66,1.03,164.05,1.48,916.63,6173.04,3702.29,838.99,204.36,236.01,17.94,523.29,143.69,0.09,22.90,0.00,0.20,0.02,1.21,185.54,0.95,0.13,0.42,1.45,7.23,35.37,0.10,0.16,0.55,0.82,0.11,9.89,35.37,0.00,122.02
,Plain omelette/omlet,272.41,0.64,9.66,25.74,0.51,0.12,48.40,1.35,1127.43,4620.50,6433.86,12775.58,255.94,140.01,10.22,226.18,114.08,0.06,28.42,0.00,0.04,0.02,0.90,138.46,10.38,0.09,0.59,1.79,10.22,35.30,0.05,0.14,0.09,1.06,0.12,12.98,35.30,0.21,123.14
,Stuffed egg omelette/omlet,203.51,2.30,8.60,17.77,1.57,0.75,89.91,0.91,843.31,4762.88,4522.70,7171.77,154.38,182.39,14.15,267.19,161.72,0.06,16.65,0.00,0.07,0.01,0.90,115.96,5.77,3.21,0.32,5.16,5.58,26.80,0.08,0.12,0.58,0.78,0.13,9.02,26.80,3.16,649.98
,Pancake,203.36,20.49,5.68,10.82,3.32,0.65,79.49,0.69,846.21,2766.08,2526.38,4767.85,35.93,101.29,13.56,143.70,116.83,0.07,4.53,0.00,0.16,0.01,0.52,19.44,3.78,1.59,0.08,0.68,1.43,12.84,0.06,0.10,0.24,0.52,0.06,3.10,12.84,1.19,195.39
,Keema pancake,176.27,9.56,9.01,11.25,2.20,0.84,40.96,0.93,733.07,4774.82,3416.92,2148.88,46.43,110.68,16.95,125.40,198.42,0.07,2.47,0.00,0.17,0.01,1.46,38.43,1.60,2.13,0.03,4.30,0.55,11.08,0.07,0.11,1.83,0.57,0.12,2.32,11.08,4.20,770.60
,Vegetable pancake,125.18,12.24,3.87,6.57,2.09,2.48,42.89,0.79,520.55,2574.50,1578.67,1920.98,19.32,63.25,19.91,116.69,230.72,0.09,2.07,0.00,0.21,0.01,0.48,35.17,1.54,4.21,0.03,13.94,0.52,24.39,0.09,0.06,0.55,0.46,0.10,2.48,24.39,17.61,1985.42
